timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532000263391,1371,41 /auth/login,200,OK,Thread Group 1-1,text,true,,1715,455,8,8,1371,0,1119
1532000263536,1438,41 /auth/login,200,OK,Thread Group 1-3,text,true,,1932,458,8,8,1438,0,1063
1532000263663,1311,41 /auth/login,200,OK,Thread Group 1-4,text,true,,2027,453,8,8,1311,0,1023
1532000263788,1479,41 /auth/login,200,OK,Thread Group 1-5,text,true,,1771,456,8,8,1479,0,1186
1532000264763,561,89 /api/PurchaseOrders/getall,200,OK,Thread Group 1-1,text,true,,45423,1089,8,8,310,0,0
1532000263912,1539,41 /auth/login,400,Bad Request,Thread Group 1-6,text,false,,617,453,8,8,1539,0,1063
1532000264163,1397,41 /auth/login,200,OK,Thread Group 1-8,text,true,,1887,453,8,8,1397,0,1048
1532000264038,1522,41 /auth/login,200,OK,Thread Group 1-7,text,true,,1715,455,8,8,1522,0,1173
1532000264975,672,89 /api/PurchaseOrders/getall,200,OK,Thread Group 1-3,text,true,,45423,1213,8,8,421,0,0
1532000265452,254,89 /api/PurchaseOrders/getall,401,Unauthorized,Thread Group 1-6,,false,,515,410,8,8,254,0,0
1532000265326,388,90 /api/PurchaseOrders/get/HJLeSx9ofQ                          ,200,OK,Thread Group 1-1,text,true,,852,1276,8,8,388,0,0
1532000264975,781,89 /api/PurchaseOrders/getall,200,OK,Thread Group 1-4,text,true,,45423,1267,7,7,533,0,0
1532000263410,2403,41 /auth/login,200,OK,Thread Group 1-2,text,true,,1887,453,7,7,2402,0,1174
1532000265272,639,89 /api/PurchaseOrders/getall,200,OK,Thread Group 1-5,text,true,,45423,1121,7,7,385,0,0
1532000265707,250,90 /api/PurchaseOrders/get/,401,Unauthorized,Thread Group 1-6,,false,,515,509,7,7,250,0,0
1532000265561,565,89 /api/PurchaseOrders/getall,200,OK,Thread Group 1-8,text,true,,45423,1187,6,6,310,0,0
1532000265561,610,89 /api/PurchaseOrders/getall,200,OK,Thread Group 1-7,text,true,,45423,1089,6,6,355,0,0
1532000266127,278,90 /api/PurchaseOrders/get/Hyplrlqofm                          ,200,OK,Thread Group 1-8,text,true,,852,1374,6,6,278,0,0
1532000265648,778,90 /api/PurchaseOrders/get/H1yWxre9ifQ                         ,200,OK,Thread Group 1-3,text,true,,852,1398,5,5,778,0,482
1532000265757,750,90 /api/PurchaseOrders/get/SyLeeSe5sMm                         ,200,OK,Thread Group 1-4,text,true,,852,1452,4,4,750,0,492
1532000265912,1325,90 /api/PurchaseOrders/get/BkPZJrecifQ                         ,200,OK,Thread Group 1-5,text,true,,852,1306,3,3,1322,0,1061
1532000265813,1553,89 /api/PurchaseOrders/getall,200,OK,Thread Group 1-2,text,true,,45423,1187,2,2,1306,0,1026
1532000266172,1301,90 /api/PurchaseOrders/get/Hkrzkre5oG7                         ,200,OK,Thread Group 1-7,text,true,,852,1274,2,2,1301,0,1028
1532000267367,262,90 /api/PurchaseOrders/get/S1gGxrx9sMX                         ,200,OK,Thread Group 1-2,text,true,,852,1372,1,1,262,0,0
